SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539354,POLYSPIN    ,X ,Q,115.65,124.95,115.65,123.60,124.00,117.10,16,1516,186078.00,
539359,PRITIKAUTO  ,X ,Q,129.30,130.00,128.30,129.50,129.90,129.30,36,4389,567523.00,
539363,SKC         ,Z ,Q,20.00,20.00,19.85,19.85,19.85,20.85,3,245,4893.00,
539383,MINFY       ,Z ,Q,3.01,3.01,3.01,3.01,3.01,3.01,3,8,24.00,
539384,KRISHNACAP  ,XT,Q,6.19,6.51,6.19,6.51,6.51,6.51,2,40,254.00,
539399,BELLACASA   ,T ,Q,138.00,140.00,138.00,140.00,140.00,140.00,3,1622,223876.00,
539400,MALLCOM     ,X ,Q,261.95,262.50,238.00,261.80,262.50,250.00,10,3264,854473.00,
539404,SATIN       ,B ,Q,340.00,340.95,330.00,330.95,332.45,342.45,309,6929,2323389.00,
539407,GENCON      ,X ,Q,118.50,123.00,116.00,118.60,118.95,118.50,44,4632,547820.00,
539410,WELCON      ,X ,Q,6.98,6.98,6.90,6.90,6.90,6.65,3,5501,37996.00,
539436,COFFEEDAY   ,A ,Q,248.55,249.15,243.15,243.90,243.90,249.25,91,1501,367478.00,
539437,IDFCFIRSTB  ,A ,Q,45.45,45.50,44.30,45.30,45.30,45.45,1357,546386,24563476.00,
539448,INDIGO      ,A ,Q,1685.50,1711.80,1680.10,1689.90,1689.90,1673.65,3426,91184,154716019.00,
539450,SHK         ,B ,Q,153.00,153.00,151.30,151.70,151.75,151.40,50,835,127197.00,
539455,DASL        ,XT,Q,23.80,23.90,23.80,23.90,23.90,23.70,6,700,16690.00,
539486,GEETANJ     ,XT,Q,1.72,1.74,1.72,1.74,1.74,1.73,6,11500,19850.00,
539487,LICNETFSEN  ,B ,Q,445.00,498.52,445.00,498.52,498.52,454.95,3,4,1897.00,
539506,ADCON       ,XT,Q,10.05,10.05,10.05,10.05,10.05,10.15,1,50,502.00,
539515,GMLM        ,XT,Q,60.85,60.85,60.85,60.85,60.85,59.70,3,2400,146040.00,
539516,HDFCNIFETF  ,B ,Q,1250.14,1252.53,1250.00,1250.00,1250.00,1254.88,10,131,163769.00,
539517,SXETF       ,B ,Q,4165.00,4236.51,4148.44,4219.49,4236.51,4170.96,22,312,1304457.00,
539518,UDAYJEW     ,X ,Q,52.35,56.00,52.35,56.00,56.00,52.35,2,6,317.00,
539519,MAYUKH      ,XT,Q,13.35,13.35,13.35,13.35,13.35,13.18,1,10,133.00,
539520,SHAILJA     ,X ,Q,12.40,12.94,12.07,12.89,12.89,12.70,7,487,5910.00,
539523,ALKEM       ,A ,Q,1790.05,1802.70,1765.05,1770.05,1770.00,1790.05,202,1095,1955577.00,
539524,LALPATHLAB  ,A ,Q,1040.70,1090.00,1040.00,1076.45,1080.00,1033.00,759,5016,5419871.00,
539525,NAVKETAN    ,X ,Q,0.22,0.22,0.22,0.22,0.22,0.22,1,500,110.00,
539526,SCTL        ,M ,Q,16.15,16.15,16.05,16.05,16.05,17.80,4,28000,450200.00,
539527,CREATIVE    ,X ,Q,385.00,385.00,351.00,374.80,374.80,367.00,16,321,118364.00,
539528,AAYUSH      ,X ,Q,28.85,30.35,28.00,30.00,30.00,28.85,11,321,9419.00,
539533,KASHIRAM    ,XT,Q,10.00,10.00,10.00,10.00,10.00,0.00,1,100,1000.00,
539542,LUXIND      ,A ,Q,1231.80,1291.15,1221.40,1256.15,1256.15,1246.00,272,1973,2494825.00,
539544,ABHIINFRA   ,XT,Q,3.88,3.88,3.87,3.87,3.87,3.70,4,353,1369.00,
